Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
440,5771.526,0,5087.789,0,5771.526,0
441,15979.18,0,6957.147,0,15979.18,0
442,15984.05,0,9083.873,0,15984.05,0
443,15998.49,0,11084.58,0,15998.49,0
444,16044.12,0,14189.95,0,16044.12,0
445,16048.56,0,12053.68,0,16048.56,0
446,16048.56,0,13059.66,0,16048.56,0
447,16048.56,0,13629.71,0,16048.56,0
448,16112.92,0,12045.87,0,16112.92,0
449,18660.56,0,14885.66,0,18660.56,0
450,4742.155,0,4686.16,0,4742.155,0
451,4749.806,0,4719.043,0,4749.806,0
452,5747.678,0,4779.531,0,5747.678,0
453,5948.69,0,4927.446,0,5948.69,0
454,19938.28,0,5834.468,0,19938.28,0
455,19938.28,0,6270.657,0,19938.28,0
456,21135.82,0,6948.07,0,21135.82,0
457,20935.82,0,6180.763,0,20935.82,0
458,20935.82,0,7054.305,0,20935.82,0
459,20935.82,0,5919.002,0,20935.82,0
460,7388.426,0,5194.951,0,7388.426,0
461,8367.783,0,5630.151,0,8367.783,0
462,24956.13,0,6557.203,0,24956.13,0
463,57201.94,0,10085.48,0,57201.94,0
464,61911.87,0,10922.8,0,61911.87,0
465,62912.08,0,11708.23,0,62912.08,0
466,63114.51,0,11673.46,0,63114.51,0
467,63114.51,0,10354.52,0,63114.51,0
468,62912.08,0,9162.568,0,62912.08,0
469,63114.51,0,12624.33,0,63114.51,0
470,4862.719,0,4785.929,0,4862.719,0
471,4862.719,0,4809.381,0,4862.719,0
472,5317.413,0,4838.667,0,5317.413,0
473,6882.906,0,4974.435,0,6882.906,0
474,6882.906,0,5026.759,0,6882.906,0
475,22089.99,0,5949.099,0,22089.99,0
476,24294.05,0,7537.153,0,24294.05,0
477,8482.397,0,5006.515,0,8482.397,0
478,28094.46,0,6228.938,0,28094.46,0
479,33304.95,0,8569.497,0,33304.95,0
480,4592.376,0,4548.951,0,4592.376,0
481,4607.216,0,4557.651,0,4607.216,0
482,4607.216,0,4577.023,0,4607.216,0
483,4607.216,0,4572.928,0,4607.216,0
484,4614.355,0,4581.784,0,4614.355,0
485,5005.243,0,4603.451,0,5005.243,0
486,5802.762,0,4722.97,0,5802.762,0
487,5802.762,0,4716.53,0,5802.762,0
488,6828.227,0,4942.954,0,6828.227,0
489,6828.227,0,4862.284,0,6828.227,0
490,4603.287,0,4538.707,0,4603.287,0
491,11208.29,0,5233.667,0,11208.29,0
492,14343.6,0,5970.688,0,14343.6,0
493,14343.6,0,6206.39,0,14343.6,0
494,14343.6,0,6057.247,0,14343.6,0
495,14343.6,0,6172.063,0,14343.6,0
496,33334.76,0,8992.389,0,33334.76,0
497,33534.76,0,11221.36,0,33534.76,0
498,33534.76,0,14222.02,0,33534.76,0
499,33534.76,0,12249.39,0,33534.76,0
500,33534.76,0,12249.39,0,33534.76,0

